"Clay, Wm. Lacy [Rep.-D-MO-1]",6
"Helms, Jesse [Sen.-R-NC]",6
"Baker, Richard H. [Rep.-R-LA-6]",6
"Jackson Lee, Sheila [Rep.-D-TX-18]",6
"Jeffries, Hakeem S. [Rep.-D-NY-8]",6
"\"Johnson, Henry C. \"\"Hank",6
"Blumenauer, Earl [Rep.-D-OR-3]",6
"Green, Gene [Rep.-D-TX-29]",6
"Duckworth, Tammy [Sen.-D-IL]",6
"Takano, Mark [Rep.-D-CA-41]",6
"Smith, Nick [Rep.-R-MI-7]",6
"Gekas, George W. [Rep.-R-PA-17]",6
"Lowey, Nita M. [Rep.-D-NY-18]",6
"Etheridge, Bob [Rep.-D-NC-2]",6
"Reyes, Silvestre [Rep.-D-TX-16]",6
"Calvert, Ken [Rep.-R-CA-43]",6
"Tipton, Scott  R. [Rep.-R-CO-3]",6
"Sununu, John E. [Sen.-R-NH]",6
"Coffman, Mike [Rep.-R-CO-6]",6
"Baird, Brian [Rep.-D-WA-3]",6
"Oxley, Michael G. [Rep.-R-OH-4]",6
"Hoyer, Steny H. [Rep.-D-MD-5]",6
"Bilirakis, Michael [Rep.-R-FL-9]",6
"Hall, Ralph M. [Rep.-R-TX-4]",6
"Ehlers, Vernon J. [Rep.-R-MI-3]",6
"Corker, Bob [Sen.-R-TN]",5
"Blunt, Roy [Rep.-R-MO-7]",5
"\"Carter, Earl L. \"\"Buddy\"\" [Rep.-R-GA-1]\"",5
"Neugebauer, Randy [Rep.-R-TX-19]",5
"Deal, Nathan [Rep.-R-GA-9]",5
"Sewell, Terri A. [Rep.-D-AL-7]",5
"Udall, Mark [Rep.-D-CO-2]",5
"Doolittle, John T. [Rep.-R-CA-4]",5
"Matsui, Doris O. [Rep.-D-CA-6]",5
"Mikulski, Barbara A. [Sen.-D-MD]",5
"McDermott, Jim [Rep.-D-WA-7]",5
"Skeen, Joe [Rep.-R-NM-2]",5
"Filner, Bob [Rep.-D-CA-51]",5
"Gosar, Paul A. [Rep.-R-AZ-4]",5
"Gregg, Judd [Sen.-R-NH]",5
"Clyburn, James E. [Rep.-D-SC-6]",5
"Hill, J. French [Rep.-R-AR-2]",5
"Walz, Timothy J. [Rep.-D-MN-1]",5
"Hayes, Robin [Rep.-R-NC-8]",5
"Russell, Steve [Rep.-R-OK-5]",5
"Brooks, Susan W. [Rep.-R-IN-5]",5
"Hart, Melissa A. [Rep.-R-PA-4]",5
"Inslee, Jay [Rep.-D-WA-1]",5
"Daines, Steve [Sen.-R-MT]",5
"Thune, John [Rep.-R-SD-At Large]",5
"Brown, Sherrod [Sen.-D-OH]",5
"Blackburn, Marsha [Rep.-R-TN-7]",5
"Portman, Rob [Rep.-R-OH-2]",5
"Pitts, Joseph R. [Rep.-R-PA-16]",5
"Istook, Ernest J., Jr. [Rep.-R-OK-5]",5
"Manzullo, Donald A. [Rep.-R-IL-16]",5
"Thornberry, Mac [Rep.-R-TX-13]",5
"Pryor, Mark L. [Sen.-D-AR]",5
"Millender-McDonald, Juanita [Rep.-D-CA-37]",5
"Carter, John R. [Rep.-R-TX-31]",5
"Lazio, Rick [Rep.-R-NY-2]",5
"Scott, David [Rep.-D-GA-13]",5
"McCrery, Jim [Rep.-R-LA-4]",5
"Moran, Jerry [Rep.-R-KS-1]",5
